Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
,PEOPLES BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"SPARTA, TN",2/10/1938 ,FDIC,,ACQUISITION,123,,
,BANK OF STRAFFORD,COMMERCIAL BANK,STATE,"STRAFFORD, MO",2/10/1938 ,FDIC,,PAYOUT,122,136,
,THE FIRST NATIONAL BANK OF PURDON,COMMERCIAL BANK,FEDERAL,"PURDON, TX",2/12/1938 ,FDIC,,PAYOUT,36,63,
,FARMERS BANK OF BLACKBURN,COMMERCIAL BANK,STATE,"BLACKBURN, MO",2/17/1938 ,FDIC,,PAYOUT,51,79,
,STATE BANK OF SURPRISE,COMMERCIAL BANK,STATE,"SURPRISE, NE",2/28/1938 ,FDIC,,PAYOUT,56,65,
,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,"HARTFORD, AR",3/2/1938 ,FDIC,,PAYOUT,94,118,
,"BANK OF NORTHAMPTON, INCORPORATED",COMMERCIAL BANK,STATE,"NASSAWADOX, VA",3/3/1938 ,FDIC,,ACQUISITION,300,,
,HOME SAVINGS BANK,COMMERCIAL BANK,STATE,"DES MOINES, IA",3/5/1938 ,FDIC,,ACQUISITION,1246,,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"KULM, ND",3/14/1938 ,FDIC,,PAYOUT,142,212,
,THE BORDEN STATE BANK,COMMERCIAL BANK,STATE,"BORDEN, IN",3/18/1938 ,FDIC,,PAYOUT,135,165,
,MERCHANTS' AND MECHANICS' SAVINGS BANK OF NORFOLK,COMMERCIAL BANK,STATE,"NORFOLK, VA",3/26/1938 ,FDIC,,ACQUISITION,2941,,
,MARGATE TRUST COMPANY,COMMERCIAL BANK,STATE,"MARGATE CITY, NJ",4/2/1938 ,FDIC,,PAYOUT,367,702,
,BANK OF ELLENBORO,COMMERCIAL BANK,STATE,"ELLENBORO, NC",4/9/1938 ,FDIC,,ACQUISITION,54,,
,THE CITY NATIONAL BANK OF HARRISBURG,COMMERCIAL BANK,FEDERAL,"HARRISBURG, IL",4/9/1938 ,FDIC,,ACQUISITION,2795,,
,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,"COLFAX, ND",4/9/1938 ,FDIC,,PAYOUT,83,117,
,WEST JERSEY TRUST COMPANY,COMMERCIAL BANK,STATE,"CAMDEN, NJ",4/11/1938 ,FDIC,,ACQUISITION,8985,,
,CAMDEN SAFE DEPOSIT & TRUST COMPANY,COMMERCIAL BANK,STATE,"CAMDEN, NJ",4/11/1938 ,FDIC,,ACQUISITION,22564,,
,FIRST STATE BANK OF IPSWICH,COMMERCIAL BANK,STATE,"IPSWICH, SD",4/12/1938 ,FDIC,,PAYOUT,184,210,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"TURTLE LAKE, ND",4/19/1938 ,FDIC,,PAYOUT,144,186,
,BANK OF HUMBOLDT,COMMERCIAL BANK,STATE,"HUMBOLDT, SD",4/19/1938 ,FDIC,,PAYOUT,131,194,
,CAROLINE STATE BANK,COMMERCIAL BANK,STATE,"CAROLINE, WI",4/20/1938 ,FDIC,,PAYOUT,134,168,
,STATE BANK OF IRENE,COMMERCIAL BANK,STATE,"IRENE, SD",4/25/1938 ,FDIC,,PAYOUT,142,176,
,SUSSEX STATE BANK,COMMERCIAL BANK,STATE,"SUSSEX, WI",5/14/1938 ,FDIC,,ACQUISITION,290,,
,CITIZENS STATE BANK OF ANDOVER,COMMERCIAL BANK,STATE,"ANDOVER, SD",5/17/1938 ,FDIC,,PAYOUT,48,78,
,FARMERS SAVINGS BANK,COMMERCIAL BANK,STATE,"ANKENY, IA",5/19/1938 ,FDIC,,PAYOUT,163,186,
,GERMAN STATE BANK OF BEULAH,COMMERCIAL BANK,STATE,"BEULAH, ND",5/31/1938 ,FDIC,,PAYOUT,100,122,
,LEOPOLIS STATE BANK,COMMERCIAL BANK,STATE,"LEOPOLIS, WI",6/3/1938 ,FDIC,,PAYOUT,143,205,
,RUSSELL STATE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"RUSSELL, IA",6/17/1938 ,FDIC,,PAYOUT,185,217,
,CENTRAL SAVINGS BANK,COMMERCIAL BANK,STATE,"NEWPORT, KY",6/22/1938 ,FDIC,,ACQUISITION,1361,,
,THE BANK OF ASHE,COMMERCIAL BANK,STATE,"JEFFERSON, NC",6/24/1938 ,FDIC,,ACQUISITION,312,,
,COMMERCIAL BANK OF MARYLAND,COMMERCIAL BANK,STATE,"FREDERICK, MD",7/1/1938 ,FDIC,,ACQUISITION,1410,,
,BANK OF MILBURN,COMMERCIAL BANK,STATE,"MILBURN, KY",7/11/1938 ,FDIC,,PAYOUT,62,79,
,HUDSON STATE BANK,COMMERCIAL BANK,STATE,"HUDSON, SD",7/12/1938 ,FDIC,,PAYOUT,209,254,
,BETHEL SPRINGS BANK,COMMERCIAL BANK,STATE,"BETHEL SPRINGS, TN",7/22/1938 ,FDIC,,ACQUISITION,39,,
,TAKOMA PARK BANK,COMMERCIAL BANK,STATE,"TAKOMA PARK, MD",7/23/1938 ,FDIC,,ACQUISITION,2048,,
,HUTCHINSON COUNTY BANK,COMMERCIAL BANK,STATE,"PARKSTON, SD",7/27/1938 ,FDIC,,PAYOUT,215,273,
,WINOOSKI SAVINGS BANK,SAVINGS BANK,STATE,"WINOOSKI, VT",7/28/1938 ,FDIC,,PAYOUT,2479,4008,
,STATE BANK OF RICE LAKE,COMMERCIAL BANK,STATE,"RICE LAKE, WI",8/15/1938 ,FDIC,,PAYOUT,841,946,
,BANK OF HIGHMORE (DREW BROS.),COMMERCIAL BANK,STATE,"HIGHMORE, SD",8/16/1938 ,FDIC,,PAYOUT,79,109,
,THE FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,"MADISON, MO",8/18/1938 ,FDIC,,PAYOUT,95,119,
,HOME BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"WINCHESTER, TN",8/19/1938 ,FDIC,,PAYOUT,278,401,
,HITCHCOCK STATE BANK,COMMERCIAL BANK,STATE,"HITCHCOCK, SD",8/24/1938 ,FDIC,,PAYOUT,54,79,
,JERAULD COUNTY BANK,COMMERCIAL BANK,STATE,"WESSINGTON SPRINGS, SD",8/31/1938 ,FDIC,,PAYOUT,211,260,
,FIRST BANK OF FLAXTON,COMMERCIAL BANK,STATE,"FLAXTON, ND",8/31/1938 ,FDIC,,PAYOUT,53,80,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"HEWITT, MN",9/2/1938 ,FDIC,,PAYOUT,112,135,
,THE SARANAC LAKE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SARANAC LAKE, NY",9/24/1938 ,FDIC,,ACQUISITION,491,,
,STOCKMENS STATE BANK,COMMERCIAL BANK,STATE,"MEDORA, ND",9/24/1938 ,FDIC,,PAYOUT,74,87,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"WILMOT, SD",9/29/1938 ,FDIC,,PAYOUT,112,165,
,BANK OF LOCKPORT,COMMERCIAL BANK,STATE,"LOCKPORT, KY",10/11/1938 ,FDIC,,PAYOUT,51,68,
,BANK OF ETON,COMMERCIAL BANK,STATE,"ETON, GA",10/12/1938 ,FDIC,,ACQUISITION,29,,
,KERMIT STATE BANK,COMMERCIAL BANK,STATE,"KERMIT, WV",11/1/1938 ,FDIC,,PAYOUT,67,120,
,FAYETTE BANK,COMMERCIAL BANK,STATE,"FAYETTE, MO",11/3/1938 ,FDIC,,PAYOUT,303,348,
,BANK OF BELLFLOWER,COMMERCIAL BANK,STATE,"BELLFLOWER, MO",11/5/1938 ,FDIC,,ACQUISITION,52,,
,THE BANK OF CUBA,COMMERCIAL BANK,STATE,"CUBA, AL",11/26/1938 ,FDIC,,PAYOUT,100,89,
,FARMERS STATE BANK OF ANAMOOSE,COMMERCIAL BANK,STATE,"ANAMOOSE, ND",11/26/1938 ,FDIC,,PAYOUT,39,62,
,THE FIRST NATIONAL BANK OF ROOSEVELT,COMMERCIAL BANK,FEDERAL,"ROOSEVELT, NY",11/26/1938 ,FDIC,,ACQUISITION,1001,,
,THE NATIONAL CITY BANK OF LYNN,COMMERCIAL BANK,FEDERAL,"LYNN, MA",12/3/1938 ,FDIC,,ACQUISITION,2233,,
,COLEMAN STATE BANK,COMMERCIAL BANK,STATE,"COLEMAN, WI",12/14/1938 ,FDIC,,ACQUISITION,234,,
,BOILING SPRINGS STATE BANK,COMMERCIAL BANK,STATE,"BOILING SPRINGS, PA",12/17/1938 ,FDIC,,ACQUISITION,147,,
,FARMERS STATE BANK OF LONDON,COMMERCIAL BANK,STATE,"LONDON, KY",12/21/1938 ,FDIC,,PAYOUT,287,355,
,THE HARFORD BANK,COMMERCIAL BANK,STATE,"BEL AIR, MD",12/31/1938 ,FDIC,,PAYOUT,669,893,
,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"CANTON, WI",12/31/1938 ,FDIC,,PAYOUT,30,51,
,OCONTO COUNTY STATE BANK,COMMERCIAL BANK,STATE,"OCONTO FALLS, WI",1/4/1939 ,FDIC,,PAYOUT,346,386,
,THE FIRST NATIONAL BANK OF PRESTON,COMMERCIAL BANK,FEDERAL,"PRESTON, MN",1/5/1939 ,FDIC,,PAYOUT,285,304,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"ELGIN, TX",1/9/1939 ,FDIC,,PAYOUT,287,347,
,BANK OF HANCOCK,COMMERCIAL BANK,STATE,"HANCOCK, WI",1/12/1939 ,FDIC,,ACQUISITION,248,,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"MARQUEZ, TX",1/16/1939 ,FDIC,,PAYOUT,46,87,
,BANK OF SCRANTON,COMMERCIAL BANK,STATE,"SCRANTON, ND",1/16/1939 ,FDIC,,PAYOUT,94,153,
,"THE HILLSBORO-QUEEN ANNE BANK, INC.",COMMERCIAL BANK,STATE,"HILLSBORO, MD",1/21/1939 ,FDIC,,ACQUISITION,249,,
,THE FARMERS BANK OF NEWTOWN,COMMERCIAL BANK,STATE,"NEWTOWN, MO",2/2/1939 ,FDIC,,PAYOUT,89,114,
,FARMERS STATE BANK IN MERKEL,COMMERCIAL BANK,STATE,"MERKEL, TX",2/3/1939 ,FDIC,,PAYOUT,131,183,
,THE COUDERSPORT TRUST COMPANY,COMMERCIAL BANK,STATE,"COUDERSPORT, PA",2/4/1939 ,FDIC,,PAYOUT,706,952,
,THE AMERICAN NATIONAL BANK OF CAMDEN,COMMERCIAL BANK,FEDERAL,"CAMDEN, NJ",2/4/1939 ,FDIC,,ACQUISITION,820,,
,THE NEW JERSEY TITLE GUARANTEE & TRUST CO.,COMMERCIAL BANK,STATE,"JERSEY CITY, NJ",2/11/1939 ,FDIC,,PAYOUT,21667,30745,
,NORTH CAMDEN TRUST COMPANY,COMMERCIAL BANK,STATE,"CAMDEN, NJ",2/11/1939 ,FDIC,,ACQUISITION,820,,
,GROVETON NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"GROVETON, NH",2/14/1939 ,FDIC,,ACQUISITION,297,,
,THE ST. JOSEPH LOAN & TRUST COMPANY,COMMERCIAL BANK,STATE,"SOUTH BEND, IN",2/16/1939 ,FDIC,,ACQUISITION,3202,,
,ST. JOSEPH COUNTY SAVINGS BANK,SAVINGS BANK,STATE,"SOUTH BEND, IN",2/16/1939 ,FDIC,,ACQUISITION,1584,,
,THE FIRST NAT'L BANK & TR CO. OF BLACKWOOD,COMMERCIAL BANK,FEDERAL,"BLACKWOOD, NJ",2/18/1939 ,FDIC,,ACQUISITION,708,,
,PEOPLES STATE BANK,COMMERCIAL BANK,STATE,"FRANKFORT, KY",2/21/1939 ,FDIC,,ACQUISITION,1932,,
,THE FIRST NATIONAL BANK IN BROOKSVILLE,COMMERCIAL BANK,FEDERAL,"BROOKSVILLE, FL",2/25/1939 ,FDIC,,ACQUISITION,274,,
,THE BANK OF ROCKY HILL,COMMERCIAL BANK,STATE,"ROCKY HILL, KY",3/4/1939 ,FDIC,,PAYOUT,154,163,
,THE POINT PLEASANT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"POINT PLEASANT, WV",3/7/1939 ,FDIC,,PAYOUT,410,461,
,STATE BANK OF FORESTVILLE,COMMERCIAL BANK,STATE,"FORESTVILLE, WI",3/8/1939 ,FDIC,,PAYOUT,281,342,
,RAHWAY TRUST COMPANY,COMMERCIAL BANK,STATE,"RAHWAY, NJ",3/11/1939 ,FDIC,,ACQUISITION,1187,,
,STATE BANK OF BREMEN,COMMERCIAL BANK,STATE,"BREMEN, ND",3/18/1939 ,FDIC,,PAYOUT,28,61,
,THE FULTON STATE BANK,COMMERCIAL BANK,STATE,"FULTON, IN",3/18/1939 ,FDIC,,PAYOUT,137,168,
,EDEN STATE BANK,COMMERCIAL BANK,STATE,"EDEN, WI",3/18/1939 ,FDIC,,ACQUISITION,179,,
,MERCHANTS & FARMERS BANK,COMMERCIAL BANK,STATE,"ATKINS, AR",3/23/1939 ,FDIC,,PAYOUT,192,223,
,BANK OF AMORITA,COMMERCIAL BANK,STATE,"AMORITA, OK",4/6/1939 ,FDIC,,PAYOUT,117,132,
,THE FIRST NATIONAL BANK OF PLAINFIELD,COMMERCIAL BANK,FEDERAL,"PLAINFIELD, NJ",4/8/1939 ,FDIC,,ACQUISITION,4080,,
,BANK OF BRUSSELS,COMMERCIAL BANK,STATE,"BRUSSELS, IL",4/14/1939 ,FDIC,,ACQUISITION,148,,
,WEST BERGEN TRUST COMPANY,COMMERCIAL BANK,STATE,"JERSEY CITY, NJ",4/20/1939 ,FDIC,,ACQUISITION,2686,,
,THE TRUST COMPANY OF NEW JERSEY,COMMERCIAL BANK,STATE,"JERSEY CITY, NJ",4/20/1939 ,FDIC,,ACQUISITION,48822,,
,RIPLEY SAVINGS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"RIPLEY, TN",4/28/1939 ,FDIC,,PAYOUT,739,794,
,HUDSON TRUST COMPANY,COMMERCIAL BANK,STATE,"UNION CITY, NJ",4/29/1939 ,FDIC,,ACQUISITION,24484,,
,BANK OF EDEN,COMMERCIAL BANK,STATE,"EDEN, NY",4/29/1939 ,FDIC,,ACQUISITION,734,,
,COLUMBIA TRUST COMPANY OF NEW JERSEY,COMMERCIAL BANK,STATE,"HOBOKEN, NJ",4/29/1939 ,FDIC,,ACQUISITION,1484,,
,TATUM STATE BANK,COMMERCIAL BANK,STATE,"TATUM, TX",5/2/1939 ,FDIC,,PAYOUT,17,47,
,THE PARKSLEY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"PARKSLEY, VA",5/18/1939 ,FDIC,,PAYOUT,182,279,
,BANK OF HARTLAND,COMMERCIAL BANK,STATE,"HARTLAND, WI",5/29/1939 ,FDIC,,PAYOUT,370,455,
,GLOUCESTER CITY TRUST COMPANY,COMMERCIAL BANK,STATE,"GLOUCESTER CITY, NJ",6/3/1939 ,FDIC,,ACQUISITION,1160,,
,COMMONWEALTH TRUST COMPANY,COMMERCIAL BANK,STATE,"UNION CITY, NJ",6/3/1939 ,FDIC,,ACQUISITION,5763,,
,MERCHANTS TRUST COMPANY,COMMERCIAL BANK,STATE,"UNION CITY, NJ",6/3/1939 ,FDIC,,ACQUISITION,5593,,
,GLENDIVE STATE BANK,COMMERCIAL BANK,STATE,"GLENDIVE, MT",6/15/1939 ,FDIC,,PAYOUT,119,162,
,THE HAMILTON TRUST COMPANY OF PATERSON,COMMERCIAL BANK,STATE,"PATERSON, NJ",6/17/1939 ,FDIC,,PAYOUT,2860,3734,
,THE PLANTSVILLE NATIONAL BANK,COMMERCIAL BANK,STATE,"PLANTSVILLE, CT",6/24/1939 ,FDIC,,PAYOUT,464,380,
,PLEASANTVILLE TRUST COMPANY,COMMERCIAL BANK,STATE,"PLEASANTVILLE, NJ",6/30/1939 ,FDIC,,PAYOUT,936,1116,
,KEARNY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"KEARNY, NJ",6/30/1939 ,FDIC,,ACQUISITION,3092,,
,WEST HUDSON COUNTY TRUST COMPANY,COMMERCIAL BANK,STATE,"HARRISON, NJ",6/30/1939 ,FDIC,,ACQUISITION,5773,,
,FIRST STATE BANK OF O'FALLON,COMMERCIAL BANK,STATE,"O'FALLON, IL",8/28/1939 ,FDIC,,PAYOUT,102,50,
,RARDIN STATE BANK,COMMERCIAL BANK,STATE,"RARDIN, IL",8/30/1939 ,FDIC,,ACQUISITION,3092,,
,PROVIDENCE CITIZENS BANK,COMMERCIAL BANK,STATE,"PROVIDENCE, KY",9/1/1939 ,FDIC,,PAYOUT,251,306,
,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,"CATO, WI",9/15/1939 ,FDIC,,PAYOUT,82,97,
,SECURITY STATE BANK,COMMERCIAL BANK,STATE,"LAWRENCE, NE",10/3/1939 ,FDIC,,PAYOUT,96,121,
,THE EGG HARBOR COMMERCIAL BANK,COMMERCIAL BANK,STATE,"EGG HARBOR CITY, NJ",10/7/1939 ,FDIC,,ACQUISITION,865,,
,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,"CUBA, KS",11/25/1939 ,FDIC,,ACQUISITION,94,,
,COMMERCIAL BANK OF LIBERTY,COMMERCIAL BANK,STATE,"LIBERTY, KY",11/25/1939 ,FDIC,,PAYOUT,502,548,
,THE YONKERS NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,"YONKERS, NY",12/4/1939 ,FDIC,,ACQUISITION,8849,,
,THE STATE BANK OF LIEBENTHAL,COMMERCIAL BANK,STATE,"LIEBENTHAL, KS",12/6/1939 ,FDIC,,PAYOUT,58,60,
,MAYNARDVILLE STATE BANK,COMMERCIAL BANK,STATE,"MAYNARDVILLE, TN",12/11/1939 ,FDIC,,PAYOUT,186,218,
,THE TUCKERTON BANK,COMMERCIAL BANK,STATE,"TUCKERTON, NJ",12/27/1939 ,FDIC,,PAYOUT,624,735,
,GUARANTY BOND STATE BANK,COMMERCIAL BANK,STATE,"NORTH ZULCH, TX",1/4/1940 ,FDIC,,PAYOUT,119,169,
,THE CITIZENS STATE BANK OF NIANGUA,COMMERCIAL BANK,STATE,"NIANGUA, MO",1/12/1940 ,FDIC,,PAYOUT,119,143,
,INTEGRITY TRUST COMPANY,COMMERCIAL BANK,STATE,"PHILADELPHIA, PA",1/13/1940 ,FDIC,,ACQUISITION,29362,,
,BANKERS TRUST COMPANY,COMMERCIAL BANK,STATE,"ATLANTIC CITY, NJ",2/1/1940 ,FDIC,,PAYOUT,986,2131,
,WOODCLIFF TRUST COMPANY,COMMERCIAL BANK,STATE,"NORTH BERGEN, NJ",2/3/1940 ,FDIC,,ACQUISITION,1492,,
,THE NATIONAL BANK OF WESTFIELD,COMMERCIAL BANK,FEDERAL,"WESTFIELD, NY",2/24/1940 ,FDIC,,ACQUISITION,1611,,
,BANK OF BROCTON,COMMERCIAL BANK,STATE,"BROCTON, NY",2/24/1940 ,FDIC,,ACQUISITION,444,,
,HARTFORD SAVINGS BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"WHITE RIVER JUNCTION, VT",3/9/1940 ,FDIC,,ACQUISITION,352,,
,EUGENE STATE BANK,COMMERCIAL BANK,STATE,"EUGENE, MO",3/13/1940 ,FDIC,,PAYOUT,106,128,
,THE SWEDESBORO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SWEDESBORO, NJ",3/16/1940 ,FDIC,,ACQUISITION,680,,
,FARMERS BANK,COMMERCIAL BANK,STATE,"DRY RIDGE, KY",3/23/1940 ,FDIC,,PAYOUT,286,363,
,THE FIRST NATIONAL BANK OF WENATCHEE,COMMERCIAL BANK,FEDERAL,"WENATCHEE, WA",3/26/1940 ,FDIC,,ACQUISITION,1548,,
,BLAIRSVILLE SAVINGS AND TRUST COMPANY,COMMERCIAL BANK,STATE,"BLAIRSVILLE, PA",4/4/1940 ,FDIC,,PAYOUT,1390,1821,
,FIRST TRUST & DEPOSIT COMPANY,COMMERCIAL BANK,STATE,"SYRACUSE, NY",4/6/1940 ,FDIC,,ACQUISITION,48256,,
,BALDWINSVILLE STATE BANK,COMMERCIAL BANK,STATE,"BALDWINSVILLE, NY",4/6/1940 ,FDIC,,ACQUISITION,807,,
,BANK OF REEDER,COMMERCIAL BANK,STATE,"REEDER, ND",4/17/1940 ,FDIC,,ACQUISITION,125,,
,FIRST STATE BANK,COMMERCIAL BANK,STATE,"WISHEK, ND",4/18/1940 ,FDIC,,PAYOUT,113,136,
,ASHLEY STATE BANK,COMMERCIAL BANK,STATE,"ASHLEY, ND",4/18/1940 ,FDIC,,PAYOUT,172,247,
,BANK OF MORELAND,COMMERCIAL BANK,STATE,"MORELAND, KY",4/19/1940 ,FDIC,,PAYOUT,124,142,
,THE RYE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"RYE, NY",4/20/1940 ,FDIC,,ACQUISITION,3358,,
,THE FIRST NATIONAL BANK OF HARRISON,COMMERCIAL BANK,FEDERAL,"HARRISON, NY",4/20/1940 ,FDIC,,ACQUISITION,1924,,
,THE FIRST NATIONAL BANK OF BALLY,COMMERCIAL BANK,FEDERAL,"BALLY, PA",4/27/1940 ,FDIC,,ACQUISITION,619,,
,MACKEY STATE BANK,COMMERCIAL BANK,STATE,"MACKEY, IN",5/9/1940 ,FDIC,,PAYOUT,25,40,
,THE SOUTHAMPTON BANK,COMMERCIAL BANK,STATE,"SOUTHAMPTON, NY",6/8/1940 ,FDIC,,ACQUISITION,1274,,
,FIRST STATE BANK OF STONEWALL,COMMERCIAL BANK,STATE,"STONEWALL, OK",6/13/1940 ,FDIC,,PAYOUT,147,143,
,THE LUCERNE STATE BANK,COMMERCIAL BANK,STATE,"LUCERNE, IN",6/22/1940 ,FDIC,,PAYOUT,166,195,
,THE WESTFIELD TRUST COMPANY,COMMERCIAL BANK,STATE,"WESTFIELD, NJ",6/22/1940 ,FDIC,,ACQUISITION,4668,,
,FIRST STATE BANK OF SCOTCH PLAINS,COMMERCIAL BANK,STATE,"SCOTCH PLAINS, NJ",6/22/1940 ,FDIC,,ACQUISITION,612,,
,WAUSHARA COUNTY BANK,COMMERCIAL BANK,STATE,"PLAINFIELD, WI",6/25/1940 ,FDIC,,ACQUISITION,267,,
,KANE TRUST AND SAVINGS BANK,COMMERCIAL BANK,STATE,"KANE, PA",7/2/1940 ,FDIC,,PAYOUT,717,915,
,CHASEBURG STATE BANK,COMMERCIAL BANK,STATE,"CHASEBURG, WI",7/13/1940 ,FDIC,,ACQUISITION,341,,
,THE CLAXTON STATE BANK,COMMERCIAL BANK,STATE,"CLAXTON, GA",7/20/1940 ,FDIC,,PAYOUT,162,223,
,MOUNT PLEASANT BANK & TRUST CO.,COMMERCIAL BANK,STATE,"PLEASANTVILLE, NY",7/20/1940 ,FDIC,,ACQUISITION,2137,,
,BANK OF WILLIAMSVILLE,COMMERCIAL BANK,STATE,"WILLIAMSVILLE, NY",7/27/1940 ,FDIC,,ACQUISITION,1775,,
,BADGER STATE BANK,COMMERCIAL BANK,STATE,"BADGER, SD",8/3/1940 ,FDIC,,PAYOUT,53,74,
,MT. UNION STATE BANK,COMMERCIAL BANK,STATE,"MT. UNION, IA",8/24/1940 ,FDIC,,ACQUISITION,179,,
,FIRST CITIZENS BANK & TRUST CO. OF UTICA,COMMERCIAL BANK,STATE,"UTICA, NY",9/14/1940 ,FDIC,,ACQUISITION,34277,,
,THE BANK OF LESLIE,COMMERCIAL BANK,STATE,"LESLIE, GA",9/18/1940 ,FDIC,,PAYOUT,113,141,
,SAVINGS BANK OF NANTICOKE,COMMERCIAL BANK,STATE,"NANTICOKE, MD",10/4/1940 ,FDIC,,PAYOUT,159,190,
,BANK OF EAGLE,COMMERCIAL BANK,STATE,"EAGLE, WI",10/25/1940 ,FDIC,,PAYOUT,387,457,
,THE FIRST NATIONAL BANK OF BURLINGAME,COMMERCIAL BANK,FEDERAL,"BURLINGAME, KS",11/19/1940 ,FDIC,,PAYOUT,256,301,
,THE STATE EXCHANGE BANK,COMMERCIAL BANK,STATE,"HOLLEY, NY",11/23/1940 ,FDIC,,ACQUISITION,986,,
,THE AMERICAN NAT BK OF SANTA MONICA,COMMERCIAL BANK,FEDERAL,"SANTA MONICA, CA",12/4/1940 ,FDIC,,ACQUISITION,1078,,
,BANK OF JAMESTOWN,COMMERCIAL BANK,STATE,"JAMESTOWN, MO",1/11/1941 ,FDIC,,PAYOUT,156,186,
,THE FIRST NATIONAL BANK OF ANADARKO,COMMERCIAL BANK,FEDERAL,"ANADARKO, OK",1/17/1941 ,FDIC,,PAYOUT,725,822,
,FIRST STATE BANK & TRUST CO. OF INDIANOLA,COMMERCIAL BANK,STATE,"INDIANOLA, IL",1/29/1941 ,FDIC,,PAYOUT,165,195,
,BANK OF BALDWYN,COMMERCIAL BANK,STATE,"BALDWYN, MS",3/8/1941 ,FDIC,,PAYOUT,179,233,
,THE KESWICK NATIONAL BANK OF GLENSIDE,COMMERCIAL BANK,FEDERAL,"GLENSIDE, PA",4/12/1941 ,FDIC,,PAYOUT,1200,1307,
,MUTUAL TRUST CO. OF WESTCHESTER COUNTY,COMMERCIAL BANK,STATE,"PORT CHESTER, NY",4/26/1941 ,FDIC,,ACQUISITION,2495,,
,THE FIRST NAT BK & TR CO. OF PORT CHESTER,COMMERCIAL BANK,FEDERAL,"PORT CHESTER, NY",4/26/1941 ,FDIC,,ACQUISITION,5157,,
,THE EXCHANGE STATE BANK,COMMERCIAL BANK,STATE,"PARSONS, KS",6/23/1941 ,FDIC,,ACQUISITION,455,,
,"BANK OF AU SABLE FORKS, N.Y.",COMMERCIAL BANK,STATE,"AU SABLE FORKS, NY",9/29/1941 ,FDIC,,ACQUISITION,800,,
,THE FIRST NATIONAL BANK OF FORESTVILLE,COMMERCIAL BANK,FEDERAL,"FORESTVILLE, NY",11/1/1941 ,FDIC,,PAYOUT,303,328,
,THE FIRST NATIONAL BANK OF DODGEVILLE,COMMERCIAL BANK,FEDERAL,"DODGEVILLE, WI",11/29/1941 ,FDIC,,PAYOUT,907,941,
,BANCO DI NAPOLI TRUST CO. OF NEW YORK,COMMERCIAL BANK,STATE,"NEW YORK, NY",12/11/1941 ,FDIC,,PAYOUT,10991,13799,
,THE ST. CHARLES STATE BANK,COMMERCIAL BANK,STATE,"ST. CHARLES, MI",12/13/1941 ,FDIC,,ACQUISITION,412,,
,THE FRANKLIN TRUST CO.,COMMERCIAL BANK,STATE,"FRANKLIN, PA",12/22/1941 ,FDIC,,ACQUISITION,3196,,
,THE LAMBERTON NATIONAL BANK OF FRANKLIN,COMMERCIAL BANK,FEDERAL,"FRANKLIN, PA",12/22/1941 ,FDIC,,ACQUISITION,2476,,
,PROVIDENCE BANK,COMMERCIAL BANK,STATE,"SCRANTON, PA",1/17/1942 ,FDIC,,ACQUISITION,754,,
,PALISADE STATE BANK,COMMERCIAL BANK,STATE,"PALISADE, MN",1/21/1942 ,FDIC,,PAYOUT,88,91,
,THE LOUISA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LOUISA, KY",1/31/1942 ,FDIC,,ACQUISITION,477,,
,BANK OF DRAPER,COMMERCIAL BANK,STATE,"DRAPER, NC",2/6/1942 ,FDIC,,PAYOUT,83,129,
,THE HADDONFIELD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"HADDONFIELD, NJ",2/28/1942 ,FDIC,,ACQUISITION,2662,,
,THE CITIZENS NATIONAL BANK OF FREEPORT,COMMERCIAL BANK,FEDERAL,"FREEPORT, NY",3/7/1942 ,FDIC,,ACQUISITION,1279,,
,THE FIRST NATIONAL BANK OF WEATHERLY,COMMERCIAL BANK,FEDERAL,"WEATHERLY, PA",3/14/1942 ,FDIC,,ACQUISITION,521,,
